epoch,train_total,train_emotion_loss,train_suicide_mse,val_emotion_loss,val_suicide_mse,val_total_loss
1,0.22020945657692065,0.003404084134029697,0.21680536713355628,0.0030418197580976253,0.005980993397428659,0.009022813155526284
2,0.2010671967624599,0.0035260043112279853,0.1975411952306063,0.0029870110286378676,0.013622239337297483,0.01660925036593535
3,0.19945618909308713,0.003294185128665272,0.1961620009353018,0.0029578340183259487,0.002740187648062905,0.005698021666388853
4,0.22190882257077088,0.0033079816839071334,0.2186008395462634,0.0029855147793383923,0.004326833462037441,0.007312348241375833
5,0.2636100845119552,0.003212833024184631,0.2603972489677603,0.002933683694671776,0.008179396488256541,0.011113080182928317
6,0.18810740210901297,0.0034818214502323557,0.18462558188329733,0.0028853432793633244,0.007177333994689635,0.01006267727405296
7,0.20962130221036765,0.0031908549342843096,0.20643044880822173,0.0028664166440576905,0.003074793072712034,0.0059412097167697245
8,0.19671147034378814,0.003298631035444191,0.19341283794651684,0.0026999555026986084,0.016472160442611256,0.019172115945309865
9,0.22871652415335347,0.0031640759849671453,0.22555244775579186,0.0026884767368940982,0.006259002044039257,0.008947478780933354
10,0.16654793192178774,0.003292120370928973,0.16325580946400634,0.0028554788517034324,0.02620766832793163,0.02906314717963506
11,0.21433550013266398,0.0032392816732178557,0.2110962171500225,0.0027045918533862645,0.006874386152768202,0.009578978006154468
12,0.23267997381014702,0.003480222189276243,0.22919974902756193,0.0026886530699324136,0.007030704392825311,0.009719357462757724
13,0.17936275160720205,0.0034135588334655745,0.1759491953415069,0.002831525734946721,0.0029470306679101315,0.005778556402856853
14,0.21191980976324815,0.0032042853993249584,0.2087155244713835,0.002803377691382742,0.0025713073081826254,0.005374684999565367
15,0.19737856298090725,0.0034659768586070873,0.19391258561882876,0.0027956879009771564,0.00566129072037878,0.008456978621355936
16,0.22211827775012394,0.0032754010518222113,0.21884287507445724,0.0027281067743213415,0.002409314165828423,0.005137420940149765
17,0.25937767314095783,0.003200168270973271,0.256177505027195,0.0026940691316405595,0.002428171064410001,0.0051222401960505605
18,0.2197436658914952,0.003465281218354009,0.21627838412920633,0.002670506867159179,0.002672765031720033,0.0053432718988792125
19,0.259121226916286,0.0032660211569117514,0.255855201571076,0.002818512044962769,0.0027120029316994093,0.0055305149766621785
20,0.26292488509603373,0.003319321679842905,0.2596055650897855,0.002643882360119941,0.0033477823299981947,0.005991664690118135
21,0.23645052700131028,0.003403451334170339,0.23304707631256505,0.002676030111204475,0.0023947575071689774,0.0050707876183734525
22,0.21137780957242364,0.003319217057957014,0.2080585933648623,0.00290459513040733,0.00393527819338323,0.00683987332379056
23,0.21321930398798397,0.0033610585633866976,0.20985824387637297,0.0027112475600314595,0.0025189770017303315,0.005230224561761791
24,0.19259064841983664,0.0034427487794203722,0.18914789984538685,0.0027152775125157107,0.003110037523316546,0.005825315035832257
25,0.22394194383906502,0.003284324364513796,0.22065761723579505,0.0026855735702829508,0.002546127404133647,0.005231700974416598
26,0.21505324597711917,0.003395820899363713,0.21165742841880886,0.0027217023912554155,0.012829558608137955,0.015551260999393371
27,0.2052873672752978,0.003445233518199364,0.20184213691457384,0.002650176335420817,0.004051542972440774,0.0067017193078615905
28,0.21145344977704889,0.0034915408865148017,0.20796191123476054,0.0025966069259875492,0.0054763136194797895,0.008072920545467339
29,0.19181457510021677,0.0032233562309857446,0.18859121661919814,0.00270018105508265,0.002684072887335541,0.005384253942418191
30,0.20291981708120416,0.003366236996165665,0.19955358032317583,0.0026175400786796364,0.009557957434763679,0.012175497513443316
31,0.2425893192787116,0.0032348985255740985,0.2393544182987974,0.0026309868724658917,0.00309206931167782,0.005723056184143711
32,0.20392891478080016,0.0033294521842650708,0.20059946497790834,0.0026530437631858777,0.002922298597161379,0.005575342360347257
33,0.21013878387773138,0.003165072876896359,0.20697370821084732,0.0026554487064207174,0.002826806833957043,0.00548225554037776
34,0.22263594247676707,0.0033551982107792484,0.21928074378573317,0.0026009170862051558,0.004210841342133317,0.006811758428338473
35,0.234807288290089,0.00307544518064474,0.23173183949924261,0.0026399591170767015,0.004212003256494211,0.0068519623735709126
36,0.21708022091972862,0.0033056818584293298,0.21377453942414362,0.002570184832307284,0.0023797285929848416,0.0049499134252921255
37,0.20379035790421685,0.0032817946317104194,0.20050856069876596,0.002554757565938694,0.013391189014086615,0.015945946580025308
38,0.20685469908931656,0.0032519701499481315,0.20360272855330735,0.002824632664037458,0.0032744276374157538,0.006099060301453211
39,0.23527359440285936,0.0032954051436596362,0.2319781898263513,0.002749685390778728,0.0031075237403060756,0.005857209131084803
40,0.19636849307606363,0.0033706791159641156,0.19299781814939276,0.002674071064303066,0.007693155466100085,0.01036722653040315
41,0.28217485823013166,0.0034117926471996683,0.27876306454680244,0.002609793830131533,0.005683185182785416,0.008292979012916948
42,0.2056523938888838,0.003530496284312587,0.20212189292805827,0.002669144892081155,0.013011973093416394,0.01568111798549755
43,0.19879597450932887,0.003518826188254263,0.19527714302566995,0.002828005695384059,0.0029574084269293286,0.005785414122313388
44,0.19245918218226854,0.0034021802320864125,0.18905699847430585,0.0025492440211970758,0.009120552632221057,0.011669796653418133
45,0.20584313762493622,0.003262140383503461,0.20258099354400255,0.002567888947209017,0.002660870458667645,0.005228759405876662
46,0.2455259059738909,0.0031607000799345497,0.24236520547472853,0.0025110431699513717,0.0035980161000569327,0.006109059270008304
47,0.213899016847298,0.0032249062197373126,0.2106741097917584,0.002497412969416144,0.003428268351586862,0.005925681321003006
48,0.26016234268999505,0.003237914328497869,0.2569244283216971,0.002503256420710119,0.0038418656841215106,0.006345122104831629
49,0.20793966876815187,0.0032418200632084978,0.20469785186639877,0.002591276640667038,0.0035495109366789714,0.0061407875773460095
50,0.234811766534789,0.003407821223070776,0.23140394577273615,0.0026771045772695525,0.00531303271451323,0.007990137291782783
